диагноз,клиническая картина,симптомы
Гастроэнтерит,"Молодая курица вялая, потеряла аппетит, кожный покров матовый. Начинается с кашля, который усиливается и становится болезненным. Аускультация выявляет влажные хрипы, затем сухие и громкие. ЧСС до 140 в мин, температура bodies slightly elevated (до 40,8°C). Животное теряет упитанность, кожа синюшная перед смертью. В крови лейкоцитоз, лимфоцитоз, эозинофилия.","Симптомы: вялость, потеря аппетита, матовый кожный покров, кашель (начинающийся как влажный и переходящий в сухой и громкий), учащенное дыхание (ЧСС до 140 в мин), субфебрильная температура (до 40,8°C), потеря упитанности, цианоз кожи перед смертью, лейкоцитоз, лимфоцитоз, эозинофилия."
Гастроэнтерит,"Корова отравилась трихлорметафосом, обрабатываясь против клещей. Вначале вела себя беспокойно, затем стала вялой, косит глаза и часто ходит по-большому. Дыхание тяжелое, кожные покровы синеют. В последнее время аппетит отсутствует, дыхание затруднено, понос длится уже несколько дней.","Симптомы: отравление трихлорметафосом, беспокойство, вялость, косящие глаза, частое опорожнение кишечника, синюшность кожных покровов, отсутствие аппетита, затрудненное дыхание, понос."
Гастроэнтерит,"Лошадь отказывается от корма, имеет жидкий стул с примесью крови и слизи, часто пьет воду и страдает вздутием живота.","Симптомы: отказался от корма, жидкий стул с кровью и слизью, часто пьёт воду, вздутие живота"
Гастроэнтерит,"Животное отказывается от корма, наблюдаются рвота и диарея. Животное может быть вялым или беспокойным. Температура тела повышена. При пальпации живота возможны болевые ощущения в области кишечника.","Симптомы: отказ от корма, рвота, диарея, вялость или беспокойство, повышенная температура тела, боль в животе при пальпации."
Гастроэнтерит,"Корова, получившая обработку трихлорметафосом, проявляет беспокойство и угнетение. У неё наблюдается нарушение координации движений, слезотечение, частая дефекация и затруднённое дыхание с цианозом. Состояние животного ухудшается, развивается асфиксия и анемия. У коровы отсутствует аппетит, наблюдаются длительные поносы.","Симптомы: угнетение, нарушение координации движений, слезотечение, частая дефекация, затруднённое дыхание с цианозом, асфиксия, анемия, отсутствие аппетита, длительные поносы."
Гастроэнтерит,"Животное откашливается и чихает часто; его температура тела выше нормы; оно плохо ест и испытывает слабость; стул жидкий и водянистый, содержащий кровь или слизь.","Симптомы: частый кашель и чихание, высокая температура, снижение аппетита и общего состояния, диарея с примесью крови или слизи."
Гастроэнтерит,"У кошки наблюдается вялость, потеря аппетита и веса. Из глаз текут слезы, а из носа - сопли. Иногда она дрожит и прячется в укромные места. При пальпации живота животное проявляет признаки боли и дискомфорта. В фекалиях присутствуют примеси крови или слизи.","Симптомы: вялость, потеря аппетита и веса, выделения из глаз и носа, дрожь и избегание света, боль при пальпации живота, примеси крови или слизи в фекалиях"
Гастроэнтерит,"У собаки диарея, рвота и беспокойство на протяжении трех дней. Она плохо ест и пьет мало воды. При осмотре отмечено слезотечение и затрудненное дыхание с цианозом. Животное ранее контактировало с больными клещами и обрабатывалось инсектоакарицидом.","Симптомы: диарея, рвота, беспокойство, плохой аппетит, одышка, слезотечение, цианоз."
Гастроэнтерит,"Молодая овца отказывается от еды, у нее рвота и диарея водянистого характера. Животное вялое, температура тела повышена. При пальпации живота животное проявляет болевые реакции. Врач ветеринарной клиники ставит предварительный диагноз гастроэнтерит.","Симптомы: отказ от еды, рвота, диарея водянистого характера, вялость, повышенная температура тела, болевые реакции при пальпации живота"
Гастроэнтерит,"Клиническая картина: У коровы внезапно начались частые, жидкие дефекации, содержимое кала имел желтый цвет и зловонный запах. Животное стало вялым, отказывалось от еды, дыхание было затруднено, слышалось хрипение. Кожа вокруг глаз и носа приобрела синюшный оттенок. При осмотре ротовой полости замечены следы слизи и пены. Температура тела повысилась до 40,5°C. С течением времени корова стала лежать большую часть времени, не проявляя интереса к окружающему миру.","Симптомы: внезапно начавшиеся частые жидкие дефекации, желтый цвет и зловонный запах кала, вялость, отказ от еды, затрудненное дыхание с хрипением, синюшный оттенок кожи вокруг глаз и носа, следы слизи и пены во рту, повышенная температура тела до 40,5°C, лежание большую часть времени без интереса к окружающему миру."
Зубной камень и гингивит,"У собаки плохой запах изо рта, она неохотно ест и теряет вес. При осмотре выявляется зубной камень на зубах и воспаление десен (гингивит). Нарушенные ткани кровоточат даже при легком давлении.","Симптомы: плохой запах изо рта, неохотное поедание пищи, потеря веса, зубной камень на зубах, воспаление десен (гингивит), кровотечение из десен при легком presión."
Зубной камень и гингивит,"Пациентом является собака, которой 5 лет. В течение последних нескольких месяцев владелец заметил неприятный запах изо рта животного. При осмотре полости рта ветеринарным врачом были обнаружены желтоватые отложения на зубах и деснах, которые легко можно было снять при помощи инструмента. Десны выглядели отечными и воспаленными, кровоточили при легком воздействии. Собака стала есть медленно и с трудом, иногда отказывалась от еды вообще. Владелец также заметил, что животное стало меньше пить воды. При пальпации области шеи были обнаружены увеличенные лимфатические узлы.","Симптомы: неприятный запах изо рта, желтоватые отложения на зубах и деснах, отечность и воспаление десен с кровоточивостью при легком воздействии, затруднение при еде, уменьшение количества воды, увеличение лимфатических узлов в области шеи."
Зубной камень и гингивит,"У коровы наблюдается увеличение живота и выпячивание левой голодной ямки. При пальпации стенка рубца имеет упругую консистенцию и быстро выравнивается, при перкуссии звук тимпанический, движения рубца ослаблены. Животное отказывается от корма, у него отмечаются одышка и цианоз слизистых оболочек.","Симптомы: увеличение живота, выпячивание левой голодной ямки, упругость стенки рубца при пальпации, тимпанический звук при перкуссии, ослабленные движения рубца, отказ от корма, одышка, цианоз слизистых оболочек."
Зубной камень и гингивит,"У кошки дурно пахнет изо рта, зубы желтые и шершавые, десны воспалены и кровоточат при еде. У животного плохой аппетит, возможна потеря веса. При осмотре обнаруживается налет на зубах, который трудно удалить.","симптомы: дурной запах изо рта, желтые и шершавые зубы, воспаленные десны с кровоточивостью при еде, плохой аппетит, возможная потеря веса, налет на зубах трудно удаляемый"
Зубной камень и гингивит,"У коровы появился неприятный запах из пасти. Слюна стала густой и желтой. При осмотре tongues видим темный налет на зубах, который трудно удалить. Десны покраснели и кровоточат при легком касании. Животное плохо ест и теряет вес.","Симптомы: неприятный запах из пасти, густая желтая слюна, темный налет на зубах, трудновыводимый, покраснение десен с кровоточивостью при легком касании, плохой аппетит, потеря веса."
Зубной камень и гингивит,"У кошки плохой запах изо рта, кровоточивость десен и налет на зубах. Врач-ветеринар диагностировал зубной камень и гингивит. Рекомендовано лечение антибиотиками и процедуры чистки зубов у ветеринара.","Симптомы: плохой запах изо рта, кровоточивость десен, налет на зубах."
Зубной камень и гингивит,"У собаки плохой запах из пасти, зубы покрыты желтым налетом, десны воспалены и кровоточат. При еде животное проявляет беспокойство и может отказаться от пищи. В некоторых случаях наблюдается отек десен и подвижность зубов.","Симптомы: плохой запах из пасти, желтый налет на зубах, воспаление и кровоточивость десен, беспокойство во время еды, возможный отказ от пищи, отек десен, подвижность зубов."
Зубной камень и гингивит,"У собаки дурной запах из пасти, зубы желтые с налетом, десна воспалены и кровоточат. При жевании она проявляет беспокойство и может отказываться от еды.","Симптомы: дурной запах из пасти, желтый налет на зубах, воспаление и кровоточивость десен, боль при жевании, возможный отказ от еды."
Зубной камень и гингивит,"Жвачное животное испытывает дискомфорт при глотании, его аппетит снизился. При осмотре ротовой полости заметен толстый слой зубного камня на зубах, а десна воспалены и кровоточат при контакте. Животное избегает твердую пищу и предпочитает жидкую. Иногда отмечается неприятный запах изо рта.","Симптомы: дискомфорт при глотании, снижение аппетита, толстый слой зубного камня на зубах, воспаление и кровоточивость десен, избегание твердой пищи, неприятный запах изо рта."
Зубной камень и гингивит,"У собаки плохое состояние полости рта: на зубах заметен желтый налет, десна воспалены и кровоточат. Животное испытывает дискомфорт при жевании и поедании пищи, из пасти исходит неприятный запах.","Симптомы: боль в полости рта, воспаление десен с кровотечением, затруднение при жевании и поедании пищи, неприятный запах изо рта"
Паразитарные инфекции,"Клиническая картина: У коровы внезапно появилась диарея, саливация и тремор мышц. Животное начало испытывать беспокойство, угнетение и адинамию. Сердечная деятельность и дыхание нарушились, что привело к судорогам и параличу дыхательного центра. Смерть наступила в течение нескольких часов после проявления симптомов.","симптомы:диарея,саливация,тремор мышц,беспокойство,угнетение,адинамия,нарушение сердечной деятельности и дыхания,судороги,паралич дыхательного центра"
Паразитарные инфекции,"Клиническая картина: У курицы, возрастом 6 месяцев, наблюдаются вялость и потеря аппетита. Через три дня появляется понос желтого цвета со слизью, птице становится трудно ходить из-за слабости в ногах. Температура тела повышена до 42°C. Вокруг клюва и глаз заметны воспалительные отеки, птица чихает и хрипит при дыхании. Через неделю перья вокруг клоаки выпадают, а самопроизвольное оперение замедляется или прекращается полностью.","Симптомы: вялость, потеря аппетита, понос желтого цвета со слизью, слабость в ногах, повышенная температура тела (42°C), воспалительные отеки вокруг клюва и глаз, чиханье и хрипы при дыхании, выпадение перьев вокруг клоаки, замедление или полное прекращение самопроизвольного оперения."
Паразитарные инфекции,"Клиническая картина: у коровы внезапно появились беспокойство, пена изо рта, тремор конечностей и диарея. Животное стало апатичным и слабым. При осмотре ветеринарным врачом были обнаружены нарушения дыхания и сердечного ритма. В результате лабораторных исследований был выявлен высокий уровень гексахлорциклогексана в организме коровы, что свидетельствует об отравлении данным инсектицидом.","Симптомы: беспокойство, пена изо рта, тремор конечностей, диарея, апатия, слабость, нарушения дыхания и сердечного ритма"
Паразитарные инфекции,"Собака, живущая на ферме, страдает от поноса и рвоты уже три дня. У нее наблюдается потеря аппетита и вялость. При осмотре发现 она имеет бледную слизистую оболочку полости рта и желтые белки глаз. В анамнезе отмечается, что собака имела контакт с другими животными на ферме и могла заразиться паразитарной инфекцией через испражнения или воду.","Симптомы: понос, рвота, потеря аппетита, вялость, бледная слизистая оболочка полости рта, желтые белки глаз"
Паразитарные инфекции,"У молодой собаки в течение трех дней отмечается повышение температуры тела, апатия, рвота и диарея. Слизистые оболочки бледные, пульс учащенный. В течение недели эти симптомы сохраняются, при этом наблюдается судороги конечностей и паралич мышц лица. Через неделю собака погибает.","Симптомы: повышение температуры тела, апатия, рвота, диарея, бледные слизистые оболочки, учащенный пульс, судороги конечностей, паралич мышц лица."
Паразитарные инфекции,"Животное вялое, температура повышена, аппетит снижен. При осмотре обнаружены черви в фекалиях. С помощью туревича метода найдены внутриклеточные включения в тканях печени и кишечника. Животному назначена противопаразитарная терапия.","Симптомы: вялость, повышенная температура, сниженный аппетит, обнаружение червей в фекалиях, наличие внутриклеточных включений в тканях печени и кишечника."
Паразитарные инфекции,"Собака с наружным паразитарным заражением: шерсть грязная и свалявшаяся, на коже заметны темно-коричневые блохи и яйца, животное испытывает зуд и расчесывает кожу до крови. В кале присутствуют беловатые нитевидные глисты, собака теряет вес несмотря на нормальный аппетит.","Симптомы: зуд, расчесывание кожи до крови, наличие темно-коричневых блох и яиц в шерсти, грязная и свалявшаяся шерсть, потеря веса при нормальном аппетите, беловатые нитевидные глисты в кале."
Паразитарные инфекции,"Свинья проявляет вялость, отказ от еды, диарею, затрудненное дыхание и кашель уже две недели. Ранее замечены следы крови в стуле и слизистой конъюнктивы глаз. Также отмечено увеличение лимфоузлов и снижение веса животного.","Симптомы: вялость, отказ от еды, диарея, затрудненное дыхание, кашель, следы крови в стуле и слизистой конъюнктивы глаз, увеличение лимфоузлов, снижение веса"
Паразитарные инфекции,"Клиническая картина: У коровы внезапно появились беспокойство и обильное слюнотечение. Через несколько часов развился тремор мышц, диарея и судороги. Сердечный ритм стал учащенным, а дыхание затрудненным. Животное начало испытывать слабость и адинамию. Симптомы усугублялись в течение дня, несмотря на симптоматическое лечение. К вечеру корова перестала реагировать на внешние стимулы и умерла от паралича дыхательного центра.","Симптомы: внезапное беспокойство, обильное слюнотечение, тремор мышц, диарея, судороги, учащенный сердечный ритм, затрудненное дыхание, слабость и адинамия, паралич дыхательного центра."
Паразитарные инфекции,"Молодая собака по кличке Бонни в последние дни стала вялой и апатичной, отказывается от еды. На коже появились аллергические высыпания, особенно заметные на животе и внутренней стороне бедер. Вчера у нее начался жидкий стул с кровью, температура повышена до 40°C. Сегодня заметили наличие блох на теле собаки. Животное содержится в вольере вместе с другими собаками, все они выглядят здоровыми. Бонни получила все положенные прививки и не контактировала с дикими животными.","Симптомы: апатия, потеря аппетита, аллергические высыпания на животе и внутренней стороне бедер, жидкий стул с кровью, повышенная температура (40°C), наличие блох на теле."
Цистит,"У взрослого пса внезапно появились признаки боли при мочеиспускании - он пронзительно кричит и поджимает хвост во время мочеиспускания, имеются кровяные вкрапления в моче. При пальпации живота животное проявляет болезненность в области мочевого пузыря. В последнее время замечена повышенная жажда и частое мочеиспускание.","Симптомы: боль при мочеиспускании, кровь в моче, болезненность живота в области мочевого пузыря, полидипсия (повышенная жажда), поллакиурия (частое мочеиспускание)."
Цистит,"Лошадь проявляет слабость, теряет аппетит, температура тела высокая (около 41 °С). Дыхание учащено, походка шаткая, возможны судороги и возбуждение. Отмечаются запоры или поносы, животное может падать и вытягивать конечности. Внешне видны розовые пятна на коже живота. Состояние ухудшается, вплоть до комы с пенистой жидкостью из носа и рта. Продолжительность заболевания от 2 до 6 дней.","Симптомы: слабость, потеря аппетита, высокая температура тела (около 41 °C), учащенное дыхание, шаткая походка, судороги и возбуждение, запоры или поносы, возможны падения и вытягивание конечностей, розовые пятна на коже живота, ухудшение состояния вплоть до комы с пенистой жидкостью из носа и рта."
Цистит,"Кошка отказывается есть и пить в течение двух дней, часто посещает лоток с явным дискомфортом при мочеиспускании, отмечается наличие крови в моче, температура тела слегка повышена.","Симптомы: отказ от еды и воды, частые позывы к мочеиспусканию с дискомфортом, наличие крови в моче, повышенная температура тела."
Цистит,"Кошка хромает, избегает воду. Часто ходит в лоток, но небольшими порциями. Иногда бывает кровь в моче.","симптомы:кошка хромает, избегает воды, часто ходит в лоток небольшими порциями, иногда бывает кровь в моче"
Цистит,"У коровы внезапно повысилась температура, появились затрудненное мочеиспускание с кровью в конце акта, постоянные позывы в туалет. Животное отказывается от еды и воды, становится вялой и апатичной.","Симптомы: повышенная температура, затрудненное мочеиспускание с кровью в конце акта, постоянные позывы к мочеиспусканию, отказ от еды и воды, вялость и апатия"
Цистит,"Кот стал часто посещать лоток, испытывает боль при мочеиспускании, моча мутная и имеет неприятный запах. В некоторых случаях в моче присутствуют кровяные примеси. Животное проявляет беспокойство и раздражительность.","Симптомы: частое посещение лотка, боль при мочеиспускании, мутная моча с неприятным запахом, возможны кровяные примеси в моче, беспокойство и раздражительность."
Цистит,"Кошка отказывается от еды уже несколько дней. Сегодня она начала странно себя вести - ходит кругами и пугается своего отражения в зеркале. Температура тела повышена до 41°C, дыхание учащено. Внезапно у животного начались судороги с оскалом и скрежетом зубов. На коже живота появились небольшие розовые пятна. Через несколько часов кошка впала в кому, из пасти течет пенистая жидкость.","Симптомы: отказ от еды, странное поведение (кружение и пугливость перед зеркалом), высокая температура тела (41°C), учащенное дыхание, судороги с оскалом и скрежетом зубов, появление розовых пятен на коже живота, пенистая жидкость из пасти."
Цистит,"Кошка начала чаще посещать лоток, но мочится малыми порциями. Во время мочеиспускания проявляет признаки боли, испытывает затруднения и может издавать жалобные крики. В ряде случаев в моче могут присутствовать кровянистые примеси. Иногда наблюдается повышение температуры тела животного.","Симптомы: боль при мочеиспускании, трудности при мочеиспускании, малые порции мочи, возможны кровяные примеси в моче, повышение температуры тела"
Цистит,"Клиническая картина: Кошка отказывается от воды и еды, часто присаживается на лоток с явным беспокойством, моча имеет мутный или кровавый вид, животное поджимает хвост и проявляет агрессию при прикосновении к нижней части живота.","Симптомы: отказ от воды и еды, частые позывы на лоток с явным беспокойством, мутный или кровавый вид мочи, поджимание хвоста, проявление агрессии при прикосновении к нижней части живота."
Цистит,"Кошка, 3 года. В последние дни стала пить много воды и часто ходить в лоток, моча розоватого цвета. При осмотре живота отмечено болезненное напряжение мышц в области мочевого пузыря. Температура тела повышена.","Симптомы:повышенная температура,боль в животе,дизурия (учащенные позывы к мочеиспусканию),гематурия (розовый цвет мочи)."
Артикулярные заболевания (артрит),"У коровы увеличен живот, выпирает левая голодная ямка. При пальпации стенка рубца упругая и быстро возвращается в исходное положение. При перкуссии слышен тимпанический звук. Движения рубца ослаблены. Животное проявляет признаки беспокойства, возможны колики. Температура тела в норме или слегка повышена. В анамнезе - резкая смена рациона корма или поедание испорченного корма.","Симптомы: увеличение живота, выпирание левой голодной ямки, упругая и быстро возвращающаяся в исходное положение стенка рубца при пальпации, тимпанический звук при перкуссии, ослабленные движения рубца, признаки беспокойства и колики, температура тела в норме или слегка повышена."
Артикулярные заболевания (артрит),"Собака, 5 лет, крупной породы. Хозяева заметили хромоту на задней правой конечности неделю назад. Сейчас собака еле передвигается, прихрамывает даже в покое. Сустав колена увеличен и горячий на ощупь, движения ограничены из-за боли. Лапа отечна, кожные складки над суставом гиперемированы. Замечено снижение аппетита, но температура тела в норме. Лечение не проводилось.","Симптомы: хромота на задней правой конечности, боль в коленном суставе, увеличение и гипертермия сустава, ограничение движений из-за боли, отек лапы, гиперемия кожных складок над суставом, снижение аппетита."
Артикулярные заболевания (артрит),"Клиническая картина: у собаки наблюдается высокая температура (41°C), слабость, полное отсутствие аппетита, запоры чередуются с поносами. Она передвигается шатко, вытягивает конечности и запрокидывает голову, координация движений нарушена. Приступы возбуждения сопровождаются агрессией и пугливостью, дыхание учащено. Отмечаются розовые пятна на коже живота. Состояние ухудшается, возникают судороги, животное может падать в обморочное состояние с пенистой жидкостью изо рта и носа. Продолжительность болезни составляет от 2 до 6 дней.","Симптомы: высокая температура (41°C), слабость, полное отсутствие аппетита, запоры чередуются с поносами, шаткость движения, вытягивание конечностей и запрокидывание головы, нарушение координации движений, приступы возбуждения с агрессией и пугливостью, учащенное дыхание, розовые пятна на коже живота, судороги, обморочные состояния с пенистой жидкостью изо рта и носа."
Артикулярные заболевания (артрит),"Собака 5 лет, порода лабрадор, владельцы отмечают хромоту на правую заднюю лапу в течение последних двух недель. При осмотре выявлено покраснение и припухлость сустава колена правой конечности, животное испытывает болезненность при пальпации и движении суставом. Рентгенограмма показывает изменения костной ткани в области сустава и наличие жидкости внутрисуставного пространства. Собака ограничена в движениях, отмечается хромота на больную конечность, температура тела нормальная. В общем анализе крови лейкоцитоз со сдвигом влево, повышение СОЭ. Животное нуждается в проведении дополнительных исследований и лечении у ветеринарного врача.","Симптомы: хромота на правую заднюю лапу, покраснение и припухлость сустава колена правой конечности, болезненность при пальпации и движении суставом"
Артикулярные заболевания (артрит),"Собака среднего размера, 4 года, поступившая с жалобой на хромоту левой задней конечности в течение последних трех дней. Собака избегает наступать на лапу и держит ее высоко при движении. При осмотре отмечается отек и покраснение вокруг сустава, а также местное повышение температуры кожи над пораженной областью. Сустав болезненный при пальпации, но движения в нем сохранены. животное передвигается с трудом, имеет неустойчивую походку и может испытывать боль даже в покое.","Симптомы: хромота левой задней конечности, отек и покраснение вокруг сустава, местное повышение температуры кожи над пораженной областью, болезненность при пальпации сустава, неустойчивая походка, боль даже в покое."
Артикулярные заболевания (артрит),"Собака старше 7 лет, хромота на задней правой лапе более двух недель. При пальпации сустава отмечается болезненность и опухание коленного сустава. Собака испытывает трудности при подъеме по лестнице и во время длительной ходьбы.","симптомы:боль в правом заднем коленном суставе,опухание правой конечности,трудности при движении (ходьбе,подъеме по лестнице)."
Артикулярные заболевания (артрит),"У собаки наблюдаются отек век и конъюнктивы, кратковременные судороги и параличи, опухание пятачка, ушей и дистальной части конечностей. Также отмечается рвота, затрудненное дыхание, учащенный пульс и застойная гиперемия кожи. В продромальный период температура тела повышена до 41°C, затем снижается до нормы. При пальпации обнаруживается студенистый отек подкожной клетчатки в области лба, вокруг глаз и у основания ушей.","Симптомы: отек век и конъюнктивы, кратковременные судороги и параличи, опухание пятачка, ушей и дистальной части конечностей, рвота, затрудненное дыхание, учащенный пульс, застойная гиперемия кожи, студенистый отек подкожной клетчатки в области лба, вокруг глаз и у основания ушей."
